CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
IN397833,IN,25-nov-24,25-nov-24,ALIMENTOS CARNICOS - BUCARAMANGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN363881,IN,24-may-24,24-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN368117,IN,19-jun-24,19-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN373192,IN,17-jul-24,17-jul-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN359199,IN,26-abr-24,26-abr-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN384738,IN,16-sep-24,16-sep-24,ALIMENTOS CARNICOS - BUCARAMANGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN383989,IN,12-sep-24,12-sep-24,ALIMENTOS CARNICOS - CALI,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN342027,IN,22-ene-24,22-ene-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN396317,IN,18-nov-24,18-nov-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN344216,IN,2-feb-24,2-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN340533,IN,15-ene-24,15-ene-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN401475,IN,13-dic-24,13-dic-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN355488,IN,4-abr-24,4-abr-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN362410,IN,15-may-24,15-may-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN370263,IN,1-jul-24,1-jul-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN383556,IN,10-sep-24,10-sep-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN369462,IN,26-jun-24,26-jun-24,ALIMENTOS CARNICOS - MONTERIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN338748,IN,3-ene-24,3-ene-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN388637,IN,7-oct-24,7-oct-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN365575,IN,4-jun-24,4-jun-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN370612,IN,3-jul-24,3-jul-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN367871,IN,18-jun-24,18-jun-24,SERVICIOS NUTRESA - BARRANQUILLA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN367864,IN,18-jun-24,18-jun-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN342599,IN,25-ene-24,25-ene-24,OPPERAR COLOMBIA - BOGOTA- LA ESTANCIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN363272,IN,20-may-24,20-may-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN354625,IN,30-mar-24,30-mar-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN363791,IN,23-may-24,23-may-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN345934,IN,13-feb-24,13-feb-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA AGENCIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN357517,IN,16-abr-24,16-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN394713,IN,8-nov-24,8-nov-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN383943,IN,12-sep-24,12-sep-24,INDUSTRIAS ALIADAS - BOGOTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN374315,IN,23-jul-24,23-jul-24,OPPERAR COLOMBIA - CALI,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN387905,IN,3-oct-24,3-oct-24,GC FOODS SANTA MARTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN353294,IN,20-mar-24,20-mar-24,GC FOODS SANTA MARTA,SOPORTE TECNICO A USUARIOS,No,No,4,1
IN344281,IN,2-feb-24,2-feb-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - BARRANQUILLA - REGIONAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN357278,IN,15-abr-24,15-abr-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN353033,IN,19-mar-24,19-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN391211,IN,21-oct-24,21-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN368625,IN,21-jun-24,21-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN404289,IN,30-dic-24,30-dic-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN402845,IN,20-dic-24,20-dic-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN401682,IN,14-dic-24,14-dic-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN396815,IN,20-nov-24,20-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN351021,IN,9-mar-24,9-mar-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN366916,IN,12-jun-24,12-jun-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN358221,IN,20-abr-24,20-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN340897,IN,16-ene-24,16-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN342158,IN,23-ene-24,23-ene-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN338843,IN,4-ene-24,4-ene-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN356423,IN,10-abr-24,10-abr-24,COMPANIA DE GALLETAS POZUELO - COSTA RICA- PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN356632,IN,11-abr-24,11-abr-24,COMPANIA DE GALLETAS POZUELO - COSTA RICA- PLANTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN362692,IN,17-may-24,17-may-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN381337,IN,29-ago-24,29-ago-24,TRESMONTES LUCCHETTI TMLUC - CHILE,GERENCIA DE TI TMLUC CHILE,No,No,4,1
IN393918,IN,5-nov-24,6-nov-24,ALIMENTOS CARNICOS - PEREIRA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN391068,IN,21-oct-24,21-oct-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,null,No,No,0,1
IN367714,IN,17-jun-24,18-jun-24,COMERCIAL NUTRESA - AGUACHICA- REGIONAL,null,No,No,0,1
IN367702,IN,17-jun-24,18-jun-24,NOVAVENTA - CARMEN DE VIBORAL- CENTRO DE OPERACIONES,null,No,No,0,1
IN349215,IN,28-feb-24,7-mar-24,PRODUCTOS ALIMENTICIOS DORIA- MOSQUERA - PLANTA,CONECTIVIDAD SENCINET,No,No,0,1
IN344784,IN,6-feb-24,6-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN348433,IN,24-feb-24,24-feb-24,COMERCIAL NUTRESA - AGUACHICA- REGIONAL,ADMINIS CONTACTO  TI SERVICIOS NUTRESA,No,No,0,1
IN394569,IN,8-nov-24,12-nov-24,COMERCIAL NUTRESA - CUCUTA- REGIONAL COMERCIAL,CONECTIVIDAD SENCINET,No,No,0,1
IN371395,IN,8-jul-24,26-jul-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,MESA DE SERVICIOS SAP,No,No,0,1
IN395581,IN,13-nov-24,14-nov-24,ALIMENTOS CARNICOS - YUMBO - CEDI,CONECTIVIDAD SENCINET,No,No,0,1
IN349466,IN,29-feb-24,29-feb-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN354092,IN,26-mar-24,26-mar-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN371791,IN,10-jul-24,10-jul-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN349486,IN,29-feb-24,29-feb-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN355756,IN,6-abr-24,11-abr-24,COMERCIAL NUTRESA - BOGOTA- REGIONAL COMERCIAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN374797,IN,25-jul-24,26-jul-24,COMERCIAL NUTRESA - SAN ANDRES- REGIONAL,DLLO DIGITAL GEORREFERENCIACION,No,No,0,1
IN371082,IN,5-jul-24,6-jul-24,CORRAL BOGOTA Bulevar Niza,ACO DISPONIBILIDAD,No,No,0,1
IN348675,IN,26-feb-24,13-jun-24,MEALS DE COLOMBIA - BOGOTA - PLANTA HELADOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN390037,IN,15-oct-24,16-oct-24,COMERCIAL NUTRESA - AGUACHICA- REGIONAL,SOPORTE PLATAFORMAS SAP,No,No,0,1
IN390048,IN,15-oct-24,16-oct-24,COMERCIAL NUTRESA - CUCUTA- REGIONAL COMERCIAL,SOPORTE PLATAFORMAS SAP,No,No,0,1
IN390091,IN,15-oct-24,16-oct-24,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS - BOGOTA- OFICINA CENTRAL,SOPORTE PLATAFORMAS SAP,No,No,0,1
IN390062,IN,15-oct-24,16-oct-24,COMERCIAL NUTRESA - CUCUTA- REGIONAL COMERCIAL,SOPORTE PLATAFORMAS SAP,No,No,0,1
IN340597,IN,15-ene-24,18-ene-24,HELADOS BON - REPUBLICA DOMINICANA,MESA DE SERVICIOS DERIVADOS,No,No,5,1
IN374758,IN,25-jul-24,26-jul-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,MESA DE SERVICIOS DERIVADOS,No,No,0,1
IN381003,IN,27-ago-24,27-ago-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN332291,IN,28-nov-23,12-feb-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,MESA DE SERVICIOS OFIMATICA,No,No,5,1
IN390487,IN,17-oct-24,17-oct-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,No,No,0,1
IN354842,IN,1-abr-24,2-abr-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,MOVILIDAD COMPUNET,No,Si,0,1
IN354297,IN,27-mar-24,4-abr-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,MOVILIDAD COMPUNET,No,No,0,1
IN355021,IN,2-abr-24,4-abr-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,MOVILIDAD COMPUNET,Si,No,0,1
IN354841,IN,1-abr-24,2-abr-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,MOVILIDAD COMPUNET,No,No,0,1
IN349616,IN,1-mar-24,5-mar-24,SERVICIOS NUTRESA - BARRANQUILLA,MOVILIDAD COMPUNET,Si,No,0,1
IN390023,IN,15-oct-24,15-oct-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,MOVILIDAD COMPUNET,No,No,0,1
IN395537,IN,13-nov-24,14-nov-24,COMERCIAL NUTRESA - MEDELLIN- REGIONAL,MOVILIDAD COMPUNET,No,No,0,1
IN352753,IN,18-mar-24,18-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN390555,IN,17-oct-24,17-oct-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN401872,IN,16-dic-24,16-dic-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN397870,IN,25-nov-24,25-nov-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN389304,IN,10-oct-24,10-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN387683,IN,2-oct-24,2-oct-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN387289,IN,30-sep-24,30-sep-24,COMERCIAL NUTRESA - PASTO- MULTICOMPANIA,MOVILIDAD COMPUNET,No,No,0,1
IN388618,IN,7-oct-24,10-oct-24,COMERCIAL NUTRESA - MEDELLIN- REGIONAL,MOVILIDAD COMPUNET,No,No,0,1
IN340436,IN,14-ene-24,18-ene-24,SERVICIOS NUTRESA COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN390613,IN,17-oct-24,19-oct-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN385712,IN,20-sep-24,22-sep-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN390875,IN,19-oct-24,19-oct-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN372713,IN,14-jul-24,14-jul-24,DISTRIBUIDORA POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN385865,IN,21-sep-24,22-sep-24,DISTRIBUIDORA POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN376388,IN,3-ago-24,6-ago-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN404135,IN,28-dic-24,28-dic-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN376888,IN,6-ago-24,7-ago-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN354595,IN,30-mar-24,10-abr-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN377960,IN,12-ago-24,13-ago-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN355702,IN,5-abr-24,10-abr-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN360653,IN,4-may-24,6-may-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN379279,IN,19-ago-24,26-ago-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN360707,IN,4-may-24,6-may-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN379929,IN,22-ago-24,22-ago-24,COMPANIA AMERICANA DE HELADOS POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN355025,IN,2-abr-24,2-abr-24,DISTRIBUIDORA POPS - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
IN401613,IN,14-dic-24,14-dic-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,MOVILIDAD COMPUNET,No,No,0,1
IN400791,IN,10-dic-24,11-dic-24,COMERCIAL NUTRESA - BOGOTA- REGIONAL COMERCIAL,MOVILIDAD COMPUNET,No,No,0,1
IN384701,IN,16-sep-24,16-sep-24,GC FOODS SANTA MARTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN389258,IN,10-oct-24,10-oct-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN339813,IN,11-ene-24,29-ene-24,PASTAS COMARRICO - BARRANQUILLA - PLANTA,null,No,No,5,1
IN394784,IN,9-nov-24,9-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN361642,IN,10-may-24,10-may-24,OPPERAR COLOMBIA - MEDELLIN- OFICINAS,MESA DE SERVICIOS OFIMATICA,No,No,0,1
IN348705,IN,26-feb-24,26-feb-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN363599,IN,22-may-24,22-may-24,MEALS DE COLOMBIA - BOGOTA - PLANTA HELADOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
IN397223,IN,21-nov-24,21-nov-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN401604,IN,14-dic-24,14-dic-24,COMERCIAL NUTRESA - NEIVA,SOPORTE PLATAFORMAS SAP,No,No,0,1
IN402534,IN,18-dic-24,21-dic-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,MESA DE SERVICIOS SAP,No,No,0,1
IN369833,IN,28-jun-24,28-jun-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
IN397733,IN,25-nov-24,26-nov-24,SERVICIOS NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,MOVILIDAD COMPUNET,No,No,0,1
IN339636,IN,9-ene-24,10-ene-24,COMERCIAL NUTRESA - BOGOTA- REGIONAL COMERCIAL,MOVILIDAD COMPUNET,No,No,0,1
IN338834,IN,4-ene-24,4-ene-24,SERVICIOS NUTRESA - CALI,MOVILIDAD COMPUNET,No,No,0,1
IN389726,IN,12-oct-24,15-oct-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,No,Si,0,1
IN357049,IN,13-abr-24,15-abr-24,COMERCIAL NUTRESA - BARRANQUILLA- REGIONAL,MOVILIDAD COMPUNET,No,No,0,1
IN398811,IN,29-nov-24,30-nov-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,No,No,0,1
IN371654,IN,9-jul-24,12-jul-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,No,No,0,1
IN350077,IN,4-mar-24,5-mar-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,No,No,0,1
IN343657,IN,30-ene-24,3-feb-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,Si,No,0,1
IN381496,IN,29-ago-24,30-ago-24,ALIMENTOS CARNICOS - BOGOTA- PLANTA CARNICOS,MOVILIDAD COMPUNET,No,No,5,1
IN348234,IN,23-feb-24,23-feb-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,MOVILIDAD COMPUNET,No,No,0,1
IN354559,IN,30-mar-24,30-mar-24,NOVAVENTA - CARMEN DE VIBORAL- CENTRO DE OPERACIONES,MOVILIDAD COMPUNET,No,No,0,1
IN357692,IN,16-abr-24,18-abr-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,MOVILIDAD COMPUNET,Si,No,0,1
IN371308,IN,8-jul-24,12-jul-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,MOVILIDAD COMPUNET,No,No,0,1
IN356606,IN,11-abr-24,11-abr-24,COMERCIAL NUTRESA - CALI- OPERADOR LOGISTICO,MOVILIDAD COMPUNET,No,No,0,1
SR4070087,SR,6-ago-24,13-ago-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA GUAYABAL CALLE 2,OPERACIONES TI,No,No,0,1
SR3763877,SR,24-ene-24,6-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4228653,SR,15-nov-24,21-nov-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3967456,SR,4-jun-24,5-jul-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,OPERACIONES TI,No,No,0,1
SR4028070,SR,11-jul-24,23-jul-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA GUAYABAL CALLE 2,OPERACIONES TI,No,No,0,1
SR3959007,SR,28-may-24,17-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,5,1
SR4036839,SR,17-jul-24,6-ago-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,5,1
SR3950526,SR,22-may-24,29-may-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4011539,SR,2-jul-24,31-jul-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,OPERACIONES TI,No,No,0,1
SR4265862,SR,10-dic-24,30-dic-24,ALIMENTOS CARNICOS - CALI,OPERACIONES TI,No,No,0,1
SR3854143,SR,20-mar-24,20-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4206645,SR,29-oct-24,6-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3847134,SR,15-mar-24,22-abr-24,ALIMENTOS CARNICOS - IBAGUE- REGIONAL CARNICOS CEDI,OPERACIONES TI,No,No,0,1
SR4224663,SR,13-nov-24,21-nov-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3930069,SR,8-may-24,22-may-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA GUAYABAL CALLE 2,OPERACIONES TI,No,No,0,1
SR3818743,SR,28-feb-24,20-mar-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA GUAYABAL CALLE 2,OPERACIONES TI,No,No,0,1
SR4129272,SR,10-sep-24,18-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4101911,SR,27-ago-24,11-sep-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3989983,SR,18-jun-24,26-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3870099,SR,4-abr-24,4-abr-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4057807,SR,30-jul-24,6-ago-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,5,1
SR3835522,SR,7-mar-24,20-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4134961,SR,13-sep-24,19-sep-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4195180,SR,22-oct-24,31-oct-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4075543,SR,9-ago-24,16-ago-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4030021,SR,12-jul-24,24-jul-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3907656,SR,24-abr-24,18-jun-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,5,1
SR4049920,SR,25-jul-24,6-ago-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,OPERACIONES TI,No,No,0,1
SR3854225,SR,20-mar-24,5-abr-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR3842681,SR,12-mar-24,20-mar-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
SR4200535,SR,25-oct-24,6-nov-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA GUAYABAL CALLE 2,OPERACIONES TI,No,No,0,1
SR3798392,SR,16-feb-24,21-feb-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,OPERACIONES TI,No,No,0,1
