CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR3810130,SR,23-feb-24,29-feb-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3935188,SR,14-may-24,20-may-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR4096620,SR,23-ago-24,23-ago-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR4145645,SR,20-sep-24,20-sep-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR3871858,SR,5-abr-24,5-abr-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO AOL,No,No,0,1
SR4188197,SR,17-oct-24,24-oct-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR3929339,SR,8-may-24,17-may-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR3639186,SR,23-oct-23,29-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR4086019,SR,16-ago-24,23-ago-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR3977836,SR,12-jun-24,8-jul-24,GESTION CARGO ZONA FRANCA - CARTAGENA,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR3720067,SR,20-dic-23,21-may-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD T.I CABLEADO SGI,No,No,0,1
SR4093650,SR,22-ago-24,22-ago-24,ALIMENTOS CARNICOS PANAMA - PLANTA CARNICOS,AVALISTAS DE NEGOCIOS,No,No,0,1
SR3940121,SR,15-may-24,15-may-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3940314,SR,15-may-24,15-may-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4091526,SR,21-ago-24,21-ago-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,null,No,No,0,1
SR3833496,SR,7-mar-24,7-mar-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4261998,SR,6-dic-24,6-dic-24,COMERCIAL NUTRESA - APARTADO,MESA DE SERVICIOS OFIMATICA,No,No,4,1
SR4241089,SR,21-nov-24,21-nov-24,INDUSTRIA COLOMBIANA DE CAFE COLCAFE - BOGOTA - PLANTA CAFE,CONECTIVIDAD SENCINET,No,No,0,1
SR4104552,SR,28-ago-24,2-sep-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3891492,SR,16-abr-24,19-abr-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - PLANTA NOEL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4098964,SR,23-ago-24,30-ago-24,ALIMENTOS CARNICOS - BARRANQUILLA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4155973,SR,26-sep-24,26-sep-24,COMPANIA NACIONAL DE CHOCOLATES - COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,0,1
SR3922609,SR,2-may-24,14-may-24,OPPERAR COLOMBIA - CALI,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR4000638,SR,24-jun-24,28-jun-24,COMPANIA DE GALLETAS NOEL - MEDELLIN - MULTICOMPANIA AGENCIA,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3926299,SR,6-may-24,6-may-24,ALIMENTOS CARNICOS - MEDELLIN - MULTICOMPANIA AGENCIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3688310,SR,27-nov-23,29-ene-24,ALIMENTOS CARNICOS - MEDELLIN- MULTICOMPANIA GUAYABAL,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR3939918,SR,15-may-24,15-may-24,SERVICIOS NUTRESA COSTA RICA,COMUNICACIONES Y REDES (COSTA RICA),No,No,5,1
SR3860702,SR,27-mar-24,27-mar-24,COMPANIA NACIONAL DE CHOCOLATES - MEDELLIN- REGIONAL,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3812383,SR,25-feb-24,25-feb-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3812380,SR,25-feb-24,25-feb-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3774020,SR,31-ene-24,5-feb-24,COMERCIAL NUTRESA - BOGOTA- REGIONAL COMERCIAL,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3860913,SR,27-mar-24,27-mar-24,MEALS DE COLOMBIA - BOGOTA - PLANTA HELADOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3860271,SR,27-mar-24,27-mar-24,MEALS DE COLOMBIA - BOGOTA - PLANTA HELADOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3792335,SR,13-feb-24,13-feb-24,GESTION CARGO ZONA FRANCA - CARTAGENA,CONECTIVIDAD SENCINET,No,No,4,1
SR3848393,SR,15-mar-24,15-mar-24,GC FOODS SANTA MARTA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3801376,SR,19-feb-24,22-feb-24,SERVICIOS NUTRESA - CARTAGENA,CONECTIVIDAD LINEA DATASCAN,No,No,0,1
SR3920390,SR,2-may-24,8-may-24,OPPERAR COLOMBIA - BOGOTA- LA ESTANCIA,null,No,No,0,1
SR3732633,SR,2-ene-24,2-ene-24,COMERCIAL NUTRESA - MEDELLIN- MULTICOMPANIA GUAYABAL,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3773635,SR,31-ene-24,31-ene-24,INDUSTRIA DE ALIMENTOS ZENU - MEDELLIN - PLANTA,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3936861,SR,15-may-24,15-may-24,PRODUCTOS ALIMENTICIOS DORIA- MOSQUERA - PLANTA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3866143,SR,2-abr-24,4-abr-24,CORDIALSA USA,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3939414,SR,15-may-24,16-may-24,ABIMAR FOODS - USA,CONECTIVIDAD SENCINET,No,No,0,1
SR3916463,SR,30-abr-24,1-may-24,COMERCIAL NUTRESA - APARTADO,MESA DE SERVICIOS OFIMATICA,No,No,0,1
SR3799796,SR,16-feb-24,21-feb-24,MEALS DE COLOMBIA - IBAGUE - MULTICOMPANIA IBAGUE,MESA DE SERVICIOS OFIMATICA,No,No,0,1
